
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _gear,__0/1 |   wbrak,__set |   lbrak,__add |   rbrak,__add |   wbrak,_part |   N1__1,_pcnt |   N1__2,_pcnt |   N2__1,_pcnt |   N2__2,_pcnt |   fuel1,___lb |   fuel2,___lb |   fuel3,___lb |   fuel4,___lb |   fuel5,___lb |   fuel6,___lb |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _gear,___lb |   _gear,___lb |   _gear,___lb | 
    118.16135 |       0.05025 |       0.05025 |       0.00000 |      17.18390 |      11.18390 |     245.76895 |       0.00000 |       0.42081 |       0.42452 |       0.42451 |       0.00000 |       0.48853 |       0.48853 |       1.00000 |       0.89950 |       0.00000 |       0.00000 |       0.89950 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |    2632.25513 |    7594.58057 |    7605.94580 |    2072.74194 |    2072.74194 |    1004.58057 |  105330.00000 |   42376.36719 |   22982.84570 |       0.00000 |  170689.20313 |  222570.01563 |      -0.15881 |   13529.70801 |       0.00000 |    8652.98633 | 
    136.87013 |       9.77666 |       9.77666 |       0.00000 |      17.18896 |      11.18896 |     245.77165 |       4.24194 |       6.27089 |       6.34914 |       0.00045 |       4.88154 |       7.30646 |       0.00052 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.02997 |       0.02997 |       0.00000 |       0.00000 |       0.00000 |    7605.23340 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15211.17969 |       0.00000 |  162917.56250 |  222570.01563 |      -0.15881 |   12402.13281 |   75538.14844 |   74901.02344 | 
    146.86371 |      19.22855 |      19.22855 |       0.00000 |      17.19170 |      11.19170 |     245.77428 |       4.30274 |       6.27077 |       6.34902 |       0.00021 |       4.95150 |       7.30632 |       0.00024 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.10419 |       0.10419 |       0.00000 |       0.00000 |       0.00000 |    7604.34082 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15210.28711 |       0.00000 |  162916.65625 |  222570.01563 |      -0.15881 |   12408.10156 |   75522.18750 |   74904.42969 | 
    156.86215 |      28.22030 |      28.22030 |       0.00000 |      17.19452 |      11.19452 |     245.77678 |       4.30274 |       6.26988 |       6.34812 |       0.00099 |       4.95150 |       7.30529 |       0.00114 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.09234 |       0.09234 |       0.00000 |       0.00000 |       0.00000 |    7603.50293 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15209.44824 |       0.00000 |  162915.81250 |  222570.01563 |      -0.15881 |   12406.58301 |   75511.15625 |   74916.57813 | 
    166.85689 |      38.27206 |      38.27206 |       0.00000 |      17.19730 |      11.19730 |     245.77957 |       4.30274 |       6.27144 |       6.34969 |       0.00113 |       4.95151 |       7.30710 |       0.00131 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.08433 |       0.08433 |       0.00000 |       0.00000 |       0.00000 |    7605.89014 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15211.83594 |       0.00000 |  162918.20313 |  222570.01563 |      -0.15881 |   12409.13770 |   75550.46875 |   74876.05469 | 
    176.85338 |      48.33125 |      48.33125 |       0.00000 |      17.20007 |      11.20007 |     245.78236 |       4.30274 |       6.27088 |       6.34913 |       0.00035 |       4.95150 |       7.30645 |       0.00040 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.10559 |       0.10559 |       0.00000 |       0.00000 |       0.00000 |    7604.95264 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15210.89844 |       0.00000 |  162917.26563 |  222570.01563 |      -0.15881 |   12409.07324 |   75559.67188 |   74865.83594 | 
    186.85834 |      58.34521 |      58.34521 |       0.00000 |      17.20285 |      11.20285 |     245.78514 |       4.30274 |       6.27129 |       6.34954 |       0.00091 |       4.95150 |       7.30692 |       0.00105 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.09369 |       0.09369 |       0.00000 |       0.00000 |       0.00000 |    7604.01807 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15209.96387 |       0.00000 |  162916.32813 |  222570.01563 |      -0.15881 |   12407.88379 |   75516.78125 |   74908.59375 | 
    196.84958 |      68.36860 |      68.36860 |       0.00000 |      17.20563 |      11.20563 |     245.78793 |       4.30274 |       6.27097 |       6.34922 |       0.00047 |       4.95151 |       7.30656 |       0.00055 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.11218 |       0.11218 |       0.00000 |       0.00000 |       0.00000 |    7603.07471 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15209.01953 |       0.00000 |  162915.39063 |  222570.01563 |      -0.15881 |   12407.74707 |   75547.51563 |   74877.71094 | 
    206.84894 |      78.38819 |      78.38819 |       0.00000 |      17.20841 |      11.20841 |     245.79071 |       4.30274 |       6.27049 |       6.34874 |       0.00016 |       4.95150 |       7.30600 |       0.00019 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.09424 |       0.09424 |       0.00000 |       0.00000 |       0.00000 |    7602.14063 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15208.08691 |       0.00000 |  162914.45313 |  222570.01563 |      -0.15881 |   12408.45117 |   75502.98438 |   74920.63281 | 
    216.85957 |      88.44560 |      88.44560 |       0.00000 |      17.21119 |      11.21119 |     245.79350 |       4.30274 |       6.27083 |       6.34908 |       0.00029 |       4.95150 |       7.30639 |       0.00033 |       1.00000 |       1.00000 |       0.00000 |       0.00000 |       1.00000 |       0.10504 |       0.10504 |       0.00000 |       0.00000 |       0.00000 |    7601.19141 |    7605.94580 |       0.00000 |       0.00000 |       0.00000 |  105330.00000 |   42376.36719 |   15207.13770 |       0.00000 |  162913.50000 |  222570.01563 |      -0.15881 |   12407.86914 |   75518.30469 |   74905.76563 | 
